Description,Body,Cylinders,Description*,Drivetrain,Engine Displacement,Fuel System,Fuel Type,Generation,Make,Model,Sub-model,Transmission,Trim
458 Speciale Aperta 4.5L V8 Rear-Wheel Drive (RWD),Convertible,V8,458 Speciale Aperta 4.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.5L,Direct Injection,Gas,458 Speciale Aperta,Ferrari,458,,Automatic,Speciale Aperta
458 Spider 4.5L V8 Rear-Wheel Drive (RWD),Convertible,V8,458 Spider 4.5L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.5L,Direct Injection,Gas,458 Spider 2011-2015,Ferrari,458,,Automatic,Spider
Ram 1500 2009-Present,SUV,,Ram 1500,,,,"Diesel, Gas",,Dodge,Ram,"Ram 1500 3.7L V6 Rear-Wheel Drive (RWD) , Ram 1500 4.7L V8 Rear-Wheel Drive (RWD) , Ram 1500 5.7L V8 Rear-Wheel Drive (RWD) , Ram 1500 6.7d L6 All-Wheel Drive (AWD) , Ram 1500 6.7d L6 All-Wheel Drive (AWD)",,1500
Ram 1500 3.7L V6 Rear-Wheel Drive (RWD),SUV,V6,Ram 1500 3.7L V6 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),3.7L,Sequential Multi-port Injection,Gas,Ram 1500 2009-Present,Dodge,Ram,,Automatic,1500
Ram 1500 4.7L V8 Rear-Wheel Drive (RWD),SUV,V8,Ram 1500 4.7L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.7L,Sequential Multi-port Injection,Gas,Ram 1500 2009-Present,Dodge,Ram,,Automatic,1500
Ram 1500 5.7L V8 Rear-Wheel Drive (RWD),SUV,V8,Ram 1500 5.7L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),5.7L,Sequential Multi-port Injection,Gas,Ram 1500 2009-Present,Dodge,Ram,,Automatic,1500
Ram 1500 6.7d L6 All-Wheel Drive (AWD),SUV,L6,Ram 1500 6.7d L6 All-Wheel Drive (AWD),All-Wheel Drive (AWD),6.7d,Common Rail,Diesel,Ram 1500 2009-Present,Dodge,Ram,,Automatic,1500
Ram 1500 6.7d L6 All-Wheel Drive (AWD),SUV,L6,Ram 1500 6.7d L6 All-Wheel Drive (AWD),All-Wheel Drive (AWD),6.7d,Common Rail,Diesel,Ram 1500 2009-Present,Dodge,Ram,,Manual,1500
430 Scuderia 4.3L V8 Rear-Wheel Drive (RWD),Coupe,V8,430 Scuderia 4.3L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),4.3L,Multipoint Injection,Gas,430 Scuderia 2007-2009,Ferrari,430,,Automatic,Scuderia
GTV 1995-2003,Coupe,,GTV,,,,Gas,,Alfa-Romeo,GTV,"GTV 1.8L L4 Front-Wheel Drive (FWD) , GTV 2.0L L4 Front-Wheel Drive (FWD) , GTV 3.0L L4 Front-Wheel Drive (FWD)",,
GTV 1.8L L4 Front-Wheel Drive (FWD),Coupe,L4,GTV 1.8L L4 Front-Wheel Drive (FWD),Front-Wheel Drive (FWD),1.8L,Multipoint Injection,Gas,GTV 1995-2003,Alfa-Romeo,GTV,,Manual,
F430 2004-2009,Coupe,,F430,,,,Gas,,Ferrari,F430,"F430 4.3L V8 Rear-Wheel Drive (RWD) , F430 4.3L V8 Rear-Wheel Drive (RWD)",,
GTV 2.0L L4 Front-Wheel Drive (FWD),Coupe,L4,GTV 2.0L L4 Front-Wheel Drive (FWD),Front-Wheel Drive (FWD),2.0L,Multipoint Injection,Gas,GTV 1995-2003,Alfa-Romeo,GTV,,Manual,
GTV 3.0L L4 Front-Wheel Drive (FWD),Coupe,L4,GTV 3.0L L4 Front-Wheel Drive (FWD),Front-Wheel Drive (FWD),3.0L,Multipoint Injection,Gas,GTV 1995-2003,Alfa-Romeo,GTV,,Manual,
