Description,Body,Cylinders,Description*,Drivetrain,Engine Displacement,Fuel System,Fuel Type,Generation,Make,Model,Sub-model,Transmission,Trim
Ghost 6.6L V12 Rear-Wheel Drive (RWD),Sedan,V12,Ghost 6.6L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.6L,Turbocharged Direct Injection,Gas,Ghost 2009-2014,Rolls-Royce,Ghost,,Automatic,
DB9 2010-2012,Coupe,,DB9,,,,Gas,,Aston-Martin,DB9,"DB9 6.0L V12 AT Rear-Wheel Drive (RWD) , DB9 6.0L V12 MT Rear-Wheel Drive (RWD)",,
DB9 2013-2016,Coupe,,DB9,,,,Gas,,Aston-Martin,DB9,"DB9 5.9L V12 AT Rear-Wheel Drive (RWD) , DB9 5.9L V12 MT Rear-Wheel Drive (RWD)",,
DB9 2004-2010,Coupe,,DB9,,,,Gas,,Aston-Martin,DB9,"DB9 6.0L V12 AT Rear-Wheel Drive (RWD)  , DB9 6.0L V12 MT Rear-Wheel Drive (RWD)",,
DB9 Carbon Edition 2014-2015,Coupe,,DB9 Carbon Edition,,,,Gas,,Aston-Martin,DB9,DB9 Carbon Edition 6.0L V12 Rear-Wheel Drive (RWD),,Carbon Edition
DB9 6.0L V12 AT Rear-Wheel Drive (RWD),Coupe,V12,DB9 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Multipoint Injection,Gas,DB9 2004-2010,Aston-Martin,DB9,,Automatic,
DB9 6.0L V12 MT Rear-Wheel Drive (RWD),Coupe,V12,DB9 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Multipoint Injection,Gas,DB9 2004-2010,Aston-Martin,DB9,,Manual,
DB9 6.0L V12 AT Rear-Wheel Drive (RWD),Coupe,V12,DB9 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Multipoint Injection,Gas,DB9 2010-2012,Aston-Martin,DB9,,Automatic,
DB9 6.0L V12 MT Rear-Wheel Drive (RWD),Coupe,V12,DB9 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Multipoint Injection,Gas,DB9 2010-2012,Aston-Martin,DB9,,Manual,
DB9 5.9L V12 AT Rear-Wheel Drive (RWD),Coupe,V12,DB9 5.9L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),5.9L,Multipoint Injection,Gas,DB9 2013-2016,Aston-Martin,DB9,,Automatic,
DB9 5.9L V12 MT Rear-Wheel Drive (RWD),Coupe,V12,DB9 5.9L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),5.9L,Multipoint Injection,Gas,DB9 2013-2016,Aston-Martin,DB9,,Manual,
DB9 Carbon Edition 6.0L V12 Rear-Wheel Drive (RWD),Coupe,V12,DB9 Carbon Edition 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Direct injection,Gas,DB9 Carbon Edition 2014-2015,Aston-Martin,DB9,,Automatic,Carbon Edition
Rapide S 2013-2018,Coupe,,Rapide S,,,,Gas,,Aston-Martin,Rapide,Rapide S 6.0L V12 Rear-Wheel Drive (RWD),,S
Rapide S 6.0L V12 Rear-Wheel Drive (RWD),Coupe,V12,Rapide S 6.0L V12 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Direct Injection,Gas,Rapide S 2013-2018,Aston-Martin,Rapide,,Automatic,S
Escalade 2000-2006,SUV,,Escalade,,,,Gas,,Cadillac,Escalade,"Escalade 5.3L V8 Rear-Wheel Drive (RWD) , Escalade 6.0L V8 Rear-Wheel Drive (RWD)",,
Escalade ESV 2002-2006,SUV,,Escalade ESV,,,,Gas,,Cadillac,Escalade,Escalade ESV 6.0L V8 All-Wheel Drive (AWD),,ESV
Escalade 2006-2013,SUV,,Escalade,,,,Gas,,Cadillac,Escalade,Escalade 6.2L V8 All-Wheel Drive (AWD),,
Escalade 2014-2020,SUV,,Escalade,,,,Gas,,Cadillac,Escalade,"Escalade 6.2L V8 Rear-Wheel Drive (RWD) , Escalade 6.2L V8 All-Wheel Drive (AWD) ",,
Escalade 2020-Present,SUV,,Escalade,,,,"Diesel, Gas",,Cadillac,Escalade,"Escalade 6.2L V8 All-Wheel Drive (AWD)  , Escalade 6.2L V8 Rear-Wheel Drive (RWD) , Escalade 6.2L L6 All-Wheel Drive (AWD) , Escalade 6.2L L6 Rear-Wheel Drive (RWD)",,
Escalade V,SUV,,Escalade V,,,,Gas,,Cadillac,Escalade,Escalade V 6.2L V8 All-Wheel Drive (AWD),,V
Escalade IQ 2023-Present,SUV,,Escalade IQ,,,,Electric,,Cadillac,Escalade,Escalade IQ 200 KWh All-Wheel Drive (AWD),,IQ
Escalade 5.3L V8 Rear-Wheel Drive (RWD),SUV,V8,Escalade 5.3L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),5.3L,Electronic Injection,Gas,Escalade 2000-2006,Cadillac,Escalade,,Automatic,
Escalade 6.0L V8 Rear-Wheel Drive (RWD),SUV,V8,Escalade 6.0L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.0L,Electronic Injection,Gas,Escalade 2000-2006,Cadillac,Escalade,,Automatic,
Escalade 6.2L V8 All-Wheel Drive (AWD),SUV,V8,Escalade 6.2L V8 All-Wheel Drive (AWD),All-Wheel Drive (AWD),6.2L,Electronic Injection,Gas,Escalade 2006-2013,Cadillac,Escalade,,Automatic,
Escalade 6.2L V8 Rear-Wheel Drive (RWD),SUV,V8,Escalade 6.2L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.2L,Direct fuel injection with Active Fuel Management,Gas,Escalade 2014-2020,Cadillac,Escalade,,Automatic,
Escalade 6.2L V8 All-Wheel Drive (AWD),SUV,V8,Escalade 6.2L V8 All-Wheel Drive (AWD),All-Wheel Drive (AWD),6.2L,Direct fuel injection with Active Fuel Management,Gas,Escalade 2014-2020,Cadillac,Escalade,,Automatic,
Escalade 6.2L V8 All-Wheel Drive (AWD),SUV,V8,Escalade 6.2L V8 All-Wheel Drive (AWD),All-Wheel Drive (AWD),6.2L,Direct high-pressure fuel injection with Dynamic Fuel Management,Gas,Escalade 2020-Present,Cadillac,Escalade,,Automatic,
Escalade 6.2L V8 Rear-Wheel Drive (RWD),SUV,V8,Escalade 6.2L V8 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.2L,Direct high-pressure fuel injection with Dynamic Fuel Management,Gas,Escalade 2020-Present,Cadillac,Escalade,,Automatic,
Escalade 6.2L L6 All-Wheel Drive (AWD),SUV,L6,Escalade 6.2L L6 All-Wheel Drive (AWD),All-Wheel Drive (AWD),6.2L,Turbocharged Common Rail,Diesel,Escalade 2020-Present,Cadillac,Escalade,,Automatic,
Escalade 6.2L L6 Rear-Wheel Drive (RWD),SUV,L6,Escalade 6.2L L6 Rear-Wheel Drive (RWD),Rear-Wheel Drive (RWD),6.2L,Turbocharged Common Rail,Diesel,Escalade 2020-Present,Cadillac,Escalade,,Automatic,
